"","Fecha","Open","Close","Sentimiento_Positivo","Neutro+Negativo"
"1",2014-06-09,207.949997,205.309998,"1",3
"2",2014-06-10,204.429993,202.300003,"3",10
"4",2014-06-12,205.100006,203.520004,"1",7
"8",2014-06-18,231.5,227.119995,"3",21
"9",2014-06-19,228.880005,227.789993,"4",6
"12",2014-06-24,238.970001,232.5,"5",18
"14",2014-06-26,237.169998,235.600006,"2",15
"17",2014-07-01,242.460007,239.720001,"2",6
"18",2014-07-02,240.660004,229.429993,"2",6
"19",2014-07-03,231.289993,229.25,"3",11
"20",2014-07-07,227.5,222.660004,"1",2
"24",2014-07-11,220.610001,218.130005,"2",9
"26",2014-07-15,226.729996,219.580002,"2",7
"27",2014-07-16,221.820007,217.160004,"1",8
"28",2014-07-17,216.160004,215.399994,"2",9
"31",2014-07-22,222.190002,219.580002,"4",12
"36",2014-07-29,226.610001,225.009995,"2",10
"38",2014-07-31,229.259995,223.300003,"2",4
"44",2014-08-08,251.160004,248.130005,"3",12
"47",2014-08-13,262.01001,260.309998,"3",5
"48",2014-08-14,262.48999,261.380005,"1",3
"50",2014-08-18,263.25,259.940002,"1",7
"51",2014-08-19,258.869995,256.76001,"1",13
"53",2014-08-21,256.519989,254.339996,"1",12
"56",2014-08-26,264.980011,261.73999,"0",1
"57",2014-08-27,263.5,263.25,"1",4
"61",2014-09-03,287.670013,281.190002,NA,NA
"63",2014-09-05,282.549988,277.390015,NA,NA
"65",2014-09-09,282.98999,278.480011,"0",1
"67",2014-09-11,280.459991,280.309998,"0",1
"68",2014-09-12,280.5,279.200012,"1",0
"69",2014-09-15,274.369995,253.860001,NA,NA
"71",2014-09-17,262.410004,261.380005,NA,NA
"74",2014-09-22,255,250.029999,"3",4
"77",2014-09-25,252.520004,246.949997,"0",2
"78",2014-09-26,248.25,246.600006,"0",3
"80",2014-09-30,246.919998,242.679993,"1",2
"81",2014-10-01,242.199997,240.240005,"2",4
"86",2014-10-08,260.100006,259.279999,"1",2
"87",2014-10-09,262.25,257.01001,NA,NA
"88",2014-10-10,244.639999,236.910004,"2",5
"89",2014-10-13,238.570007,224.589996,"0",5
"90",2014-10-14,228.25,227.059998,NA,NA
"93",2014-10-17,233.380005,227.479996,"0",2
"96",2014-10-22,233.190002,231.100006,NA,NA
"98",2014-10-24,236.270004,235.240005,"1",0
"99",2014-10-27,234.25,221.669998,"0",3
"101",2014-10-29,241.130005,238.100006,"1",4
"103",2014-10-31,242.509995,241.699997,"2",3
"104",2014-11-03,243,242.589996,"1",3
"105",2014-11-04,240.490005,238.929993,NA,NA
"106",2014-11-05,241,230.970001,"0",2
"108",2014-11-07,242.190002,240.199997,NA,NA
"111",2014-11-12,249.720001,249.100006,"0",2
"114",2014-11-17,257.48999,253.979996,"0",1
"116",2014-11-19,250.610001,247.740005,"0",2
"118",2014-11-21,252.210007,242.779999,"0",3
"122",2014-11-28,245.350006,244.520004,NA,NA
"123",2014-12-01,241.160004,231.639999,NA,NA
"124",2014-12-02,234.570007,231.429993,"0",1
"126",2014-12-04,228.600006,228.279999,NA,NA
"127",2014-12-05,228.669998,223.710007,"0",1
"128",2014-12-08,221.539993,214.360001,"0",1
"130",2014-12-10,214.130005,209.839996,"0",1
"131",2014-12-11,210.529999,208.880005,"0",3
"133",2014-12-15,209.289993,204.039993,"0",1
"134",2014-12-16,200.889999,197.809998,NA,NA
"137",2014-12-19,220.190002,219.289993,"0",2
"139",2014-12-23,223.809998,220.970001,NA,NA
"142",2014-12-29,226.899994,225.710007,NA,NA
"143",2014-12-30,223.990005,222.229996,"0",1
"144",2014-12-31,223.089996,222.410004,"0",1
"145",2015-01-02,222.869995,219.309998,NA,NA
"146",2015-01-05,214.550003,210.089996,NA,NA
"148",2015-01-07,213.350006,210.949997,NA,NA
"149",2015-01-08,212.809998,210.619995,NA,NA
"150",2015-01-09,208.919998,206.660004,NA,NA
"151",2015-01-12,203.050003,202.210007,"0",1
"154",2015-01-15,194.490005,191.869995,"0",1
"156",2015-01-20,193.869995,191.929993,"1",1
"162",2015-01-28,206.110001,199.369995,"0",1
"164",2015-01-30,203.960007,203.600006,"0",2
"169",2015-02-06,222,217.360001,"0",2
"171",2015-02-10,217.550003,216.289993,"0",1
"175",2015-02-17,205.699997,204.350006,NA,NA
"179",2015-02-23,215.660004,207.339996,"0",1
"180",2015-02-24,207.289993,204.110001,"1",1
"181",2015-02-25,204.940002,203.759995,"0",1
"183",2015-02-27,206.899994,203.339996,"1",4
"184",2015-03-02,202.699997,197.330002,"0",1
"187",2015-03-05,202.850006,200.630005,NA,NA
"188",2015-03-06,199.210007,193.880005,"0",1
"189",2015-03-09,194.389999,190.880005,"1",0
"192",2015-03-12,193.75,191.070007,"0",1
"193",2015-03-13,188.949997,188.679993,"0",1
"195",2015-03-17,195.429993,194.729996,"0",1
"197",2015-03-19,202,195.649994,"3",3
"201",2015-03-25,198.270004,194.300003,"0",1
"202",2015-03-26,193.919998,190.410004,"0",2
"203",2015-03-27,189.070007,185,"0",1
"205",2015-03-31,193.529999,188.770004,"0",1
"206",2015-04-01,188.699997,187.589996,"0",2
"210",2015-04-08,208.199997,207.669998,"2",3
"213",2015-04-13,210.440002,209.779999,NA,NA
"214",2015-04-14,208.570007,207.460007,"0",1
"216",2015-04-16,207.699997,206.699997,"0",2
"218",2015-04-20,206.779999,205.270004,NA,NA
"222",2015-04-24,220.5,218.429993,"0",1
"224",2015-04-28,234.75,230.479996,"0",1
"226",2015-04-30,230.389999,226.050003,"0",3
"227",2015-05-01,229.940002,226.029999,"1",6
"229",2015-05-05,237.759995,232.949997,"1",0
"230",2015-05-06,234.100006,230.429993,"0",2
"235",2015-05-13,247.610001,243.179993,"0",1
"236",2015-05-14,244.820007,244.100006,"0",2
"239",2015-05-19,248.429993,247.139999,"0",2
"240",2015-05-20,247.130005,244.350006,NA,NA
"243",2015-05-26,247.679993,247.460007,"0",1
"244",2015-05-27,248.509995,247.429993,"0",4
"246",2015-05-29,251,250.800003,"0",1
"247",2015-06-01,251.410004,249.449997,NA,NA
"248",2015-06-02,248.919998,248.350006,"0",2
"250",2015-06-04,247.5,245.919998,"1",1
"254",2015-06-10,251.899994,250.699997,"0",2
"255",2015-06-11,253.259995,251.410004,"0",1
"260",2015-06-18,262,261.890015,"0",2
"262",2015-06-22,262.149994,259.790009,"0",1
"264",2015-06-24,266.980011,265.170013,"2",3
"266",2015-06-26,268.890015,267.089996,"4",6
"269",2015-07-01,271.109985,269.149994,"0",1
"270",2015-07-02,280.200012,280.019989,"1",3
"272",2015-07-07,275,267.880005,"0",2
"273",2015-07-08,259.320007,254.960007,"1",3
"274",2015-07-09,259.079987,257.920013,"0",2
"275",2015-07-10,262.220001,259.149994,"0",1
"276",2015-07-13,262.25,262.160004,"0",1
"278",2015-07-15,266.73999,263.140015,"1",8
"282",2015-07-21,270.049988,266.769989,"0",2
"284",2015-07-23,269.649994,267.200012,NA,NA
"285",2015-07-24,267.380005,265.410004,NA,NA
"286",2015-07-27,262.429993,253.009995,"1",2
"288",2015-07-29,264.269989,263.820007,"3",0
"290",2015-07-31,267.600006,266.149994,"0",5
"291",2015-08-03,266.290009,259.98999,"1",0
"294",2015-08-06,249.539993,246.130005,"0",1
"295",2015-08-07,243.580002,242.509995,"1",0
"300",2015-08-14,247.240005,243.149994,"0",1
"301",2015-08-17,255.559998,254.990005,"0",1
"303",2015-08-19,260.329987,255.25,"2",0
"304",2015-08-20,252.059998,242.179993,"1",1
"305",2015-08-21,236,230.770004,"0",1
"307",2015-08-25,230.520004,220.029999,"0",1
"308",2015-08-26,227.929993,224.839996,"1",0
"312",2015-09-01,240.339996,238.630005,NA,NA
"314",2015-09-03,252.059998,245.570007,"0",1
"317",2015-09-09,252.050003,248.910004,"0",1
"323",2015-09-17,263.959991,262.070007,"0",1
"327",2015-09-23,261.950012,261.059998,"0",1
"329",2015-09-25,266.609985,256.910004,"0",2
"330",2015-09-28,257.350006,248.429993,"0",1
"331",2015-09-29,250.460007,246.649994,"0",1
"332",2015-09-30,252,248.399994,"0",6
"333",2015-10-01,247.509995,239.880005,"0",1
"335",2015-10-05,248.839996,246.149994,"1",3
"337",2015-10-07,236.630005,231.960007,"0",2
"338",2015-10-08,230.080002,226.720001,"0",4
"339",2015-10-09,220.929993,220.690002,"2",0
"340",2015-10-12,222.990005,215.580002,"0",3
"342",2015-10-14,220.669998,216.880005,"1",1
"346",2015-10-20,227.720001,213.029999,"1",0
"347",2015-10-21,211.990005,210.089996,"1",2
